                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54015,                0.74419,                 1.2129,                0.90037,                0.86986,                 0.9014,                0.76489,                0.69904,                0.65627,                 1.1893,             0.00034895,             0.00034895,             0.00034895
                     36,                0.53971,                0.74077,                 1.2128,                0.90836,                0.87664,                0.90799,                 0.7722,                 0.6683,                0.63115,                 1.1692,             0.00034374,             0.00034374,             0.00034374
                     37,                0.53111,                0.73029,                 1.2079,                0.88678,                0.88645,                0.90455,                0.76899,                0.67334,                0.64294,                 1.1787,             0.00033853,             0.00033853,             0.00033853
                     38,                0.53008,                0.71808,                 1.2069,                0.88516,                0.87952,                0.90262,                0.75531,                0.74278,                0.66541,                 1.2374,             0.00033333,             0.00033333,             0.00033333
                     39,                 0.5366,                0.70702,                 1.2071,                0.89784,                0.87528,                0.90819,                0.77574,                0.66425,                0.61233,                 1.1676,             0.00032812,             0.00032812,             0.00032812
                     40,                 0.5168,                0.70415,                 1.1989,                0.87697,                0.88767,                0.90563,                0.77026,                0.68879,                 0.6333,                  1.189,             0.00032291,             0.00032291,             0.00032291
                     41,                0.53079,                0.69654,                 1.2013,                 0.9027,                0.88173,                0.90506,                0.77336,                0.68081,                0.62514,                 1.1789,              0.0003177,              0.0003177,              0.0003177
                     42,                0.52746,                0.69277,                 1.2025,                0.90797,                0.88827,                0.90747,                0.77771,                0.67782,                0.63865,                 1.1835,              0.0003125,              0.0003125,              0.0003125
                     43,                0.52875,                0.69222,                    1.2,                0.90748,                0.87453,                0.91197,                0.78076,                0.66527,                0.61467,                 1.1709,             0.00030729,             0.00030729,             0.00030729
                     44,                0.51873,                0.69115,                 1.2002,                0.89899,                0.89258,                0.90478,                0.77198,                0.66921,                0.61362,                 1.1745,             0.00030208,             0.00030208,             0.00030208
